Geo,Year,SFDU,MFDU,GQDU
510411009344,2024,646,0,0
510411009351,2024,551,100,8
510411009352,2024,793,0,0
510411009361,2024,412,39,0
510411009362,2024,1021,0,0
510411009371,2024,686,302,0
510411009372,2024,475,270,0
510411009381,2024,568,134,0
510411009382,2024,2354,102,0
510411010031,2024,1005,154,0
510411010032,2024,1469,267,0
510411010033,2024,950,10,0
510411010034,2024,747,8,0
510411010041,2024,383,18,0
510411010042,2024,393,0,0
510411010043,2024,944,7,0
510411010071,2024,487,55,0
510411010072,2024,558,109,0
510411010073,2024,1179,114,0
510411010081,2024,780,259,0
510411010082,2024,777,360,0
510411010091,2024,638,66,5
510411010092,2024,1245,22,0
510411010093,2024,875,369,0
510411010111,2024,360,0,0
510411010112,2024,696,0,0
510411010121,2024,777,0,0
510411010122,2024,409,4,0
510411010123,2024,17,1045,7
510411010131,2024,494,0,0
510411010132,2024,853,33,0
510411010141,2024,931,10,0
510411010151,2024,1085,91,0
510411010152,2024,577,19,3
510411010153,2024,679,0,0
510430101011,2024,786,217,20
510430101012,2024,447,69,0
510430101013,2024,225,224,0
510430101021,2024,696,14,0
510430101022,2024,290,11,0
510430101023,2024,635,20,14
510430102001,2024,754,43,0
510430102002,2024,384,15,0
510430102003,2024,263,11,0
510430103001,2024,774,35,0
510430103002,2024,621,19,0
510450501001,2024,705,5,0
510450501002,2024,768,0,0
510450501003,2024,504,0,0
510450501004,2024,416,0,0
510479301011,2024,939,0,0
510479301012,2024,792,66,0
510479301031,2024,766,0,0
510479301032,2024,735,0,0
510479301033,2024,360,0,0
510479301041,2024,539,0,0
510479301042,2024,651,0,7
510479302021,2024,1264,0,0
510479302022,2024,853,0,0
510479302023,2024,524,13,0
510479302031,2024,210,244,0
510479302032,2024,663,236,0
510479302033,2024,755,122,0
510479302041,2024,409,256,0
510479303001,2024,104,140,7
510479303002,2024,460,327,0
510479303003,2024,635,132,0
510479303004,2024,484,386,8
510479304001,2024,477,9,0
510479304002,2024,584,164,0
510479304003,2024,1043,13,0
510479305011,2024,244,0,0
510479305012,2024,765,0,0
510479305013,2024,863,0,1
510479305021,2024,223,287,2
510479305022,2024,220,347,0
510479305023,2024,863,606,10
510499301011,2024,444,0,0
510499301012,2024,720,20,0
510499301013,2024,570,11,0
510499301021,2024,430,17,25
510499301022,2024,809,28,10
510499302001,2024,546,20,0
510499302002,2024,429,56,0
510499302003,2024,599,37,0
510510401001,2024,354,83,0
510510401002,2024,506,0,0
510510401003,2024,375,14,0
510510401004,2024,611,0,0
510510402001,2024,634,0,0
510510402002,2024,270,78,12
510510402003,2024,418,0,0
510510403001,2024,946,1,0
510510403002,2024,459,10,0
510510403003,2024,495,0,0
510510403004,2024,198,13,0
510510403005,2024,334,0,0
510510404001,2024,432,0,0
510510404002,2024,600,13,0
510510404003,2024,244,8,0
510510404004,2024,259,7,0
510538401011,2024,449,0,0
510538401012,2024,726,16,0
510538401021,2024,512,8,0
510538401022,2024,449,15,0
510538401023,2024,509,3,0
510538402001,2024,708,0,6
510538402002,2024,390,0,7
510538402003,2024,896,0,0
510538403001,2024,653,0,0
510538403002,2024,503,0,0
510538403003,2024,307,16,0
510538403004,2024,913,0,10
510538404001,2024,202,13,0
510538405001,2024,752,434,0
510538405002,2024,598,0,0
510538406011,2024,1025,0,0
510538406012,2024,643,0,0
510538406021,2024,564,0,0
510538406022,2024,673,5,11
510539801001,2024,1,0,0
510579506001,2024,598,0,0
510579506002,2024,690,0,0
510579506003,2024,503,5,0
510579507001,2024,644,132,4
510579507002,2024,464,417,40
510579507003,2024,264,155,0
510579508001,2024,375,45,0
510579508002,2024,822,0,0
510579508003,2024,653,44,0
510594151001,2024,332,33,39
510594151002,2024,353,32,8
510594151003,2024,368,0,0
510594152001,2024,122,183,14
510594152002,2024,0,529,0
510594152003,2024,22,769,0
510594152004,2024,154,122,0
510594153001,2024,121,103,9
510594153002,2024,299,524,6
510594153003,2024,282,391,0
510594154011,2024,333,226,18
510594154012,2024,0,1163,0
510594154013,2024,72,180,2
510594154021,2024,379,0,0
510594154022,2024,255,0,0
510594154023,2024,151,357,0
510594155001,2024,636,0,0
510594155002,2024,436,6,0
510594155003,2024,330,266,0
510594155004,2024,198,443,2
