Geo,Year,TotEmp,RetEmp,SvcEmp
510411009381,2045,147,33,91
510411009382,2045,320,3,108
510411010031,2045,113,1,26
510411010032,2045,358,3,166
510411010033,2045,111,1,40
510411010034,2045,105,15,48
510411010041,2045,482,104,86
510411010042,2045,84,3,30
510411010043,2045,318,7,180
510411010071,2045,107,0,25
510411010072,2045,180,19,118
510411010073,2045,2618,527,1010
510411010081,2045,518,242,166
510411010082,2045,695,30,411
510411010091,2045,1555,858,246
510411010092,2045,241,29,134
510411010093,2045,310,0,91
510411010111,2045,775,144,367
510411010112,2045,54,0,26
510411010121,2045,50,0,18
510411010122,2045,627,21,260
510411010123,2045,3399,1294,818
510411010131,2045,786,3,209
510411010132,2045,159,0,80
510411010141,2045,152,0,62
510411010151,2045,962,461,76
510411010152,2045,50,11,25
510411010153,2045,350,1,98
510754001011,2045,20074,12,1347
510754001012,2045,991,21,288
510754001021,2045,4134,779,774
510754001022,2045,5072,1365,1027
510754002001,2045,1054,42,190
510754002002,2045,215,5,73
510754002003,2045,257,30,86
510754002004,2045,437,14,227
510754003001,2045,632,7,31
510754004001,2045,2352,105,1305
510754004002,2045,149,0,40
510754004003,2045,47,0,17
