Geo,Year,SFDU,MFDU,GQDU
517600709013,2024,657,284,0
517600709021,2024,387,24,0
517600709022,2024,18,206,27
517600709023,2024,29,485,3
517600710021,2024,687,56,0
517600710022,2024,340,594,0
517600710031,2024,569,374,0
517600710032,2024,13,818,0
517600710041,2024,21,727,0
517600710042,2024,0,392,150
517600711001,2024,418,91,1
517600711002,2024,123,404,4
517600711003,2024,240,776,9
517600711004,2024,334,744,17
510366001001,2045,825,15,0
510366001002,2045,377,77,0
510366002001,2045,610,28,0
510366002002,2045,466,6,0
510366003001,2045,449,6,0
510366003002,2045,448,12,0
510411001061,2045,1360,0,0
510411001062,2045,449,15,0
510411001071,2045,68,608,0
510411001072,2045,244,1074,0
510411002061,2045,0,463,1
510411002062,2045,562,0,0
510411002063,2045,754,47,1
510411002064,2045,936,0,1
510411002065,2045,268,0,0
510411002081,2045,651,0,0
510411002082,2045,602,41,0
510411002091,2045,307,285,0
510411002092,2045,327,187,0
510411002093,2045,1416,184,0
510411002094,2045,762,73,0
510411002101,2045,555,676,0
510411002111,2045,519,0,0
510411002112,2045,381,1302,0
510411002121,2045,368,146,0
510411002122,2045,426,590,0
510411002123,2045,26,1009,0
510411003001,2045,471,364,0
510411003002,2045,427,216,0
510411004031,2045,1288,20,0
510411004032,2045,422,131,0
510411004033,2045,227,21,0
510411004034,2045,368,189,0
510411004035,2045,598,365,0
510411004041,2045,195,252,0
510411004042,2045,411,417,0
510411004051,2045,278,540,0
510411004052,2045,266,0,0
510411004061,2045,275,680,0
510411004071,2045,271,19,0
510411004072,2045,594,14,0
510411004073,2045,804,227,0
510411004091,2045,747,241,7
510411004092,2045,591,0,0
510411004093,2045,437,448,0
510411004094,2045,825,0,0
510411004095,2045,528,0,0
510411004101,2045,243,771,0
510411004102,2045,208,433,0
510411005051,2045,583,207,0
510411005052,2045,485,27,0
510411005053,2045,554,95,5
510411005054,2045,32,374,0
510411005055,2045,381,53,0
510411005061,2045,271,0,0
510411005062,2045,497,290,0
510411005063,2045,678,0,0
510411005064,2045,493,0,0
510411005065,2045,818,0,0
510411005071,2045,999,26,7
510411005072,2045,899,0,0
510411005073,2045,1441,20,0
510411005081,2045,914,0,0
510411005082,2045,1407,363,15
510411005091,2045,1449,25,0
510411005092,2045,204,0,0
510411005093,2045,446,37,5
510411005094,2045,953,23,7
510411005101,2045,594,356,0
510411005102,2045,955,104,0
510411006001,2045,451,48,0
510411006002,2045,19,0,1782
510411006003,2045,326,109,0
510411007011,2045,1001,0,0
510411007012,2045,566,56,757
510411007013,2045,779,1,0
510411007014,2045,523,81,10
510411007021,2045,988,0,1
510411007041,2045,760,0,0
510411007042,2045,587,0,0
510411007043,2045,1011,0,0
510411007051,2045,245,19,20
510411007052,2045,1189,0,0
510411008041,2045,469,493,4
510411008042,2045,759,0,0
510411008043,2045,525,0,1
510411008051,2045,646,0,0
510411008052,2045,148,270,0
510411008053,2045,546,53,11
510411008054,2045,807,0,5
510411008061,2045,32,925,0
510411008062,2045,833,35,0
510411008071,2045,1143,241,6
510411008121,2045,787,0,5
510411008122,2045,1130,0,0
510411008123,2045,628,133,9
510411008141,2045,839,10,0
510411008142,2045,900,0,0
510411008151,2045,772,0,4
510411008152,2045,1520,1,1
510411008161,2045,612,0,0
510411008162,2045,979,52,0
510411008163,2045,459,0,0
510411008171,2045,472,472,0
510411008172,2045,228,261,0
510411008181,2045,671,0,12
510411008182,2045,1528,0,15
510411008191,2045,385,781,111
510411008192,2045,963,0,22
510411008193,2045,1027,0,11
510411008201,2045,784,464,0
510411008202,2045,791,0,0
510411008211,2045,851,0,0
510411008212,2045,1133,15,0
510411008213,2045,366,0,0
510411008221,2045,467,0,0
510411008222,2045,1521,0,0
510411008223,2045,464,754,0
510411008231,2045,1043,269,0
510411008232,2045,276,960,0
510411008233,2045,931,0,0
510411009021,2045,475,23,0
510411009022,2045,919,17,0
510411009023,2045,491,11,1
510411009071,2045,578,0,0
510411009072,2045,395,491,268
510411009101,2045,472,59,0
510411009102,2045,627,0,0
510411009103,2045,966,51,15
510411009104,2045,516,0,9
510411009121,2045,1125,153,0
510411009122,2045,451,101,0
510411009123,2045,814,74,0
510411009124,2045,485,67,11
510411009151,2045,459,717,0
510411009152,2045,937,295,0
510411009191,2045,1336,260,14
510411009192,2045,946,49,0
510411009193,2045,789,275,0
510411009201,2045,231,835,0
510411009211,2045,313,412,0
510411009212,2045,722,319,0
510411009213,2045,405,0,0
510411009214,2045,490,477,0
510411009221,2045,630,285,5
510411009222,2045,1315,232,2
510411009223,2045,231,88,0
510411009231,2045,899,30,12
510411009232,2045,419,185,0
510411009241,2045,667,760,0
510411009242,2045,1170,10,0
510411009261,2045,440,672,0
510411009262,2045,705,63,7
510411009263,2045,749,0,0
510411009264,2045,691,20,0
510411009281,2045,741,1470,4
510411009282,2045,459,860,0
510411009283,2045,646,682,5
510411009291,2045,567,110,0
510411009292,2045,883,0,0
510411009293,2045,428,147,0
510411009294,2045,614,265,0
510411009301,2045,337,36,0
510411009302,2045,1130,26,0
510411009311,2045,401,96,0
510411009312,2045,895,0,0
510411009313,2045,1047,231,1
510411009321,2045,681,162,0
510411009322,2045,770,93,0
510411009331,2045,76,833,0
510411009332,2045,702,0,0
510411009341,2045,940,0,1
510411009342,2045,631,49,6
510411009343,2045,138,782,0
510411009344,2045,797,0,0
510411009351,2045,680,123,10
510411009352,2045,978,0,0
510411009361,2045,508,48,0
510411009362,2045,1259,0,0
510411009371,2045,846,372,0
510411009372,2045,586,333,0
510411009381,2045,701,165,0
510411009382,2045,2903,126,0
510411010031,2045,1240,190,0
510411010032,2045,1812,329,0
510411010033,2045,1172,12,0
510411010034,2045,921,10,0
510411010041,2045,472,22,0
510411010042,2045,485,0,0
510411010043,2045,1164,9,0
510411010071,2045,601,68,0
510411010072,2045,688,134,0
510411010073,2045,1454,141,0
510411010081,2045,962,319,0
510411010082,2045,958,444,0
510411010091,2045,787,81,6
510411010092,2045,1536,27,0
510411010093,2045,1079,455,0
510411010111,2045,444,0,0
510411010112,2045,858,0,0
510411010121,2045,958,0,0
510411010122,2045,504,5,0
510411010123,2045,21,1289,9
510411010131,2045,609,0,0
510411010132,2045,1052,41,0
510411010141,2045,1148,12,0
510411010151,2045,1338,112,0
510411010152,2045,712,23,4
510411010153,2045,837,0,0
510754001011,2045,1234,734,28
510754001012,2045,1129,0,4
510754001021,2045,728,0,0
510754001022,2045,1632,334,5
510754002001,2045,338,0,0
510754002002,2045,454,0,0
510754002003,2045,867,0,0
510754002004,2045,883,0,11
510754003001,2045,69,0,0
510754004001,2045,946,107,1
510754004002,2045,483,0,0
510754004003,2045,476,0,0
510754004004,2045,708,36,0
510754005001,2045,989,0,0
510754005002,2045,946,27,0
510754005003,2045,453,0,0
510853201001,2045,298,0,0
510853201002,2045,739,21,0
510853201003,2045,1170,8,0
510853201004,2045,820,0,0
510853202001,2045,846,0,0
510853202002,2045,813,60,15
510853202003,2045,923,0,0
510853203001,2045,682,13,0
510853203002,2045,428,0,0
510853203003,2045,852,9,7
510853204001,2045,1212,52,0
